serial number: RI70_21209061
torque: 8
start_temp: 22 (22)
finish_temp: 22 (23)
note: montaz przymiar
0.000000 0.662822 22.000000 12864.373626
0.020010 0.659935 22.000000 12888.809783
0.040020 0.661748 22.000000 12918.157303
0.060030 0.660845 22.000000 12946.636364
0.080041 0.659431 22.000000 12974.010989
0.100051 0.664053 22.000000 13007.708791
0.120061 0.660494 22.000000 13041.536723
0.140071 0.661736 21.984309 13070.149171
0.160081 0.663506 21.988261 13105.956522
0.180091 0.660613 22.000000 13135.859459
0.200101 0.663276 22.000000 13172.567416
0.220112 0.660225 22.000000 13204.536723
0.240122 0.661668 22.000000 13240.481081
0.260132 0.664143 22.000000 13277.494382
0.280142 0.660133 22.000000 13312.872928
0.300152 0.663322 22.000000 13353.967742
0.320162 0.661749 22.000000 13391.017045
0.340172 0.662334 22.000000 13430.896739
0.360183 0.666150 22.000000 13473.016393
0.380193 0.662291 22.000000 13513.151685
0.400203 0.664826 22.000000 13556.114754
0.420213 0.664898 22.000000 13600.338889
0.440223 0.663676 22.000000 13644.920904
0.460233 0.668874 22.000000 13691.406593
0.480243 0.664105 22.000000 13738.620879
0.500254 0.663292 22.000000 13788.261111
0.520264 0.667972 22.000000 13838.855556
0.540274 0.664355 22.000000 13890.160221
0.560284 0.667937 22.000000 13941.743017
0.580294 0.664974 22.000000 13995.434066
0.600304 0.665544 22.000000 14051.201117
0.620314 0.669753 22.000000 14108.198895
0.640325 0.664241 22.000000 14166.066667
0.660335 0.669050 22.000000 14225.824176
0.680345 0.666648 22.000000 14286.693182
0.700355 0.666154 21.998400 14348.120000
0.720365 0.671357 21.996522 14412.353261
0.740375 0.666914 21.999556 14478.650000
0.760385 0.668595 22.000000 14545.331429
0.780396 0.673027 22.000000 14614.864865
0.800406 0.668844 22.000000 14686.107345
0.820416 0.672208 22.000000 14757.430168
0.840426 0.671748 22.000000 14832.032787
0.860436 0.669291 21.999080 14908.706897
0.880446 0.675200 21.993812 14987.569061
0.900456 0.670153 21.995955 15068.831461
0.920467 0.674506 22.000000 15151.758427
0.940477 0.674058 22.000000 15235.205714
0.960487 0.671201 22.000000 15320.272727
0.980497 0.676172 22.000000 15407.635359
1.000507 0.673459 22.000000 15496.206704
1.020517 0.674741 22.000000 15584.340909
1.040528 0.676698 22.000000 15673.159091
1.060538 0.677402 22.000000 15763.022346
1.080548 0.678704 22.000000 15852.710227
1.100558 0.677962 22.000000 15944.783333
1.120568 0.677596 22.000000 16039.306818
1.140578 0.682695 22.000000 16132.620112
1.160588 0.676766 22.000000 16226.773256
1.180599 0.681981 22.000000 16319.581921
1.200609 0.680060 22.000000 3008.903409
1.220619 0.679892 22.000000 123.308989
1.240629 0.682651 22.000000 217.346591
1.260639 0.679541 22.000000 310.130682
1.280649 0.680796 21.996610 400.887006
1.300659 0.681713 21.989029 492.817143
1.320670 0.681776 21.993898 582.440678
1.340680 0.680312 21.992135 671.106742
1.360690 0.682909 22.000000 758.224138
1.380700 0.678457 22.000000 843.200000
1.400710 0.685190 22.000000 928.634831
1.420720 0.679407 22.000000 1012.573034
1.440730 0.682531 22.000000 1094.392045
1.460741 0.682472 22.000000 1175.941520
1.480751 0.680436 22.000000 1255.318681
