serial number: RI70_21209061
torque: 8
start_temp: 27 (27)
finish_temp: 27 (28)
note: montaz na obrotach
0.000000 0.952186 26.987816 7918.724138
0.020010 0.947994 26.987322 8033.262295
0.040020 0.952958 26.994157 8151.483146
0.060030 0.950487 26.993966 8269.899441
0.080041 0.951789 26.992889 8390.738889
0.100051 0.952487 26.988603 8509.726257
0.120061 0.950430 26.986897 8627.045977
0.140071 0.954370 26.991333 8744.600000
0.160081 0.951396 26.996000 8861.644444
0.180091 0.950747 26.993526 8977.832370
0.200101 0.954629 26.991209 9091.071429
0.220112 0.950941 26.987191 9201.910112
0.240122 0.952573 26.983543 9310.182857
0.260132 0.951781 26.982514 9413.612022
0.280142 0.950103 26.979091 9515.528409
0.300152 0.954290 26.982825 9613.531073
0.320162 0.949979 26.989888 9708.617978
0.340172 0.950870 26.987957 9803.161290
0.360183 0.950104 26.986286 9893.960000
0.380193 0.950280 26.991381 9980.237569
0.400203 0.951358 26.989497 10063.474860
0.420213 0.949354 26.988889 10144.211111
0.440223 0.949025 26.991364 10221.392045
0.460233 0.950455 26.989885 10294.597701
0.480243 0.946319 26.988973 10366.205405
0.500254 0.950404 26.992849 10436.614525
0.520264 0.948189 26.992609 10503.097826
0.540274 0.945683 26.990282 10567.033898
0.560284 0.951506 26.992000 10627.685714
0.580294 0.945162 26.991739 10686.559783
0.600304 0.947595 26.987500 10743.596591
0.620314 0.946084 26.986957 10798.021739
0.640325 0.945574 26.985275 10849.802198
0.660335 0.947097 26.992000 10899.840000
0.680345 0.945125 26.995506 10947.567416
0.700355 0.945787 26.994286 10994.153846
0.720365 0.945279 26.992174 11040.483696
0.740375 0.943685 26.993556 11084.405556
0.760385 0.946802 26.995028 11126.378531
0.780396 0.943795 26.997966 11166.542373
0.800406 0.942528 26.998033 11204.355191
0.820416 0.946143 26.993333 11243.738889
0.840426 0.941802 26.993696 11279.771739
0.860436 0.943680 26.994220 11316.271676
0.880446 0.943045 26.994696 11350.486188
0.900456 0.941449 26.994475 11381.983425
0.920467 0.945255 26.990000 11410.705556
0.940477 0.941433 26.987104 11439.240437
0.960487 0.941187 26.988950 11470.171271
0.980497 0.943219 26.993591 11506.480663
1.000507 0.940687 26.989497 11538.636872
1.020517 0.943361 26.985556 11567.883333
1.040528 0.941664 26.984972 11596.215470
1.060538 0.940891 26.985161 11623.591398
1.080548 0.943866 26.993483 11652.544944
1.100558 0.940050 27.000674 11674.589888
1.120568 0.942384 27.000000 11701.717391
1.140578 0.942285 26.997688 11727.872832
1.160588 0.940661 26.996809 11749.611702
1.180599 0.943533 26.990227 11773.113636
1.200609 0.939358 26.982570 11794.843575
1.220619 0.942866 26.988729 11818.325967
1.240629 0.940759 26.995084 11842.832402
1.260639 0.938928 26.994624 11860.838710
1.280649 0.943695 26.994754 11886.775956
1.300659 0.939557 26.994831 11911.544944
1.320670 0.939604 26.988603 11937.000000
1.340680 0.942690 26.982983 11962.132597
1.360690 0.939163 26.984835 11990.648352
1.380700 0.942364 26.995191 12019.393443
1.400710 0.940413 26.992131 12048.240437
1.420720 0.938619 26.988636 12077.744318
1.440730 0.944716 26.989677 12108.731183
1.460741 0.938113 26.993370 12138.939227
1.480751 0.941178 26.999781 12169.863388
1.500761 0.941968 26.998409 12202.170455
1.520771 0.938268 26.989545 12229.113636
1.540781 0.941576 26.985806 12259.424731
1.560791 0.939795 26.989773 12289.193182
1.580801 0.937014 26.981319 12313.758242
1.600812 0.943320 26.984632 12347.115789
1.620822 0.937422 26.985311 12368.135593
1.640832 0.940754 26.983111 12399.033333
1.660842 0.939615 26.983911 12424.748603
1.680852 0.936731 26.990323 12447.327957
1.700862 0.942423 26.992955 12480.198864
1.720872 0.935139 26.990870 12499.994565
1.740883 0.940597 26.992768 12526.847458
1.760893 0.938936 26.997622 12556.454054
1.780903 0.936261 26.998251 12577.180328
1.800913 0.940308 26.995778 12601.738889
1.820923 0.935984 26.994382 12630.095506
1.840933 0.937291 26.991333 12648.588889
1.860943 0.940154 26.988043 12670.201087
1.880954 0.934754 26.991475 12692.765027
1.900964 0.939182 26.986592 12718.044693
1.920974 0.936657 26.984176 12739.439560
1.940984 0.935188 26.990939 12756.082873
1.960994 0.940216 26.987937 12785.740741
1.981004 0.934063 26.990056 12809.875706
2.001014 0.936822 26.992135 12831.601124
2.021025 0.936750 26.990652 12855.385870
2.041035 0.933142 26.991913 12883.617486
2.061045 0.938056 26.987709 12911.262570
2.081055 0.933647 26.981202 12935.573770
2.101065 0.934332 26.989727 12963.792350
2.121075 0.937042 26.993073 12997.513966
2.141085 0.931338 26.988723 13022.228723
2.161096 0.934709 26.991685 13054.280899
2.181106 0.933032 26.996957 13090.679348
2.201116 0.931367 26.995084 13116.826816
2.221126 0.935931 26.993005 13151.109290
2.241136 0.930870 26.986667 13187.043011
2.261146 0.932881 26.983333 13222.144444
2.281156 0.932290 26.987660 13265.223404
2.301167 0.928130 26.993073 13304.413408
2.321177 0.933974 26.990383 13344.737705
2.341187 0.929961 26.992967 13382.769231
2.361197 0.929638 26.997174 13422.978261
2.381207 0.932762 26.996739 13467.298913
2.401217 0.927653 26.995084 13506.513966
2.421227 0.932454 26.993155 13552.010695
2.441238 0.930095 26.991957 13600.086957
2.461248 0.927288 26.990222 13643.488889
2.481258 0.932859 26.993043 13694.065217
2.501268 0.926625 26.994839 13742.543011
2.521278 0.929733 26.995801 13792.436464
2.541288 0.928845 26.992849 13847.162011
2.561298 0.926147 26.990164 13897.355191
2.581309 0.930650 26.994194 13954.317204
2.601319 0.927332 27.000432 14012.978378
2.621329 0.926545 26.998652 14069.151685
2.641339 0.929500 26.996364 14132.310160
2.661349 0.925236 26.992258 14193.112903
2.681359 0.929575 26.988352 14258.076923
2.701369 0.926902 26.990989 14326.307692
2.721380 0.925794 26.986811 14390.654054
2.741390 0.929228 26.981304 14463.407609
2.761400 0.926240 26.989130 14534.173913
2.781410 0.927286 26.994620 14606.654971
2.801420 0.926696 26.991136 14685.693182
2.821430 0.924110 26.994320 14760.757396
2.841440 0.929446 27.000000 14843.733333
2.861451 0.926435 26.992857 14929.345238
2.881461 0.926113 26.975349 15011.970930
2.901471 0.928402 26.978409 15104.363636
2.921481 0.923942 26.994913 15193.855491
2.941491 0.929048 26.994353 15285.400000
2.961501 0.924794 26.994651 15379.250000
2.981511 0.924908 26.995765 15469.823529
3.001522 0.928144 26.991412 15567.005650
3.021532 0.922802 26.989773 15665.142045
3.041542 0.925886 26.989822 15759.763314
3.061552 0.927267 26.992941 15858.158824
3.081562 0.921552 26.990337 15955.516854
3.101572 0.927589 26.993684 16058.549708
3.121583 0.923393 26.997241 16159.545977
3.141593 0.697075 26.989917 16253.243802
3.161603 0.835811 26.988458 11714.985075
3.181613 0.858719 26.994949 75.878788
3.201623 0.876320 26.997970 176.350254
3.221633 0.884209 26.995464 278.067010
3.241643 0.888647 26.995892 370.437838
3.261654 0.894552 26.993750 467.260417
3.281664 0.898449 26.992577 563.237113
3.301674 0.903085 26.987725 653.449735
3.321684 0.904852 26.981799 749.164021
3.341694 0.900585 26.977609 835.353261
3.361704 0.910616 26.992421 923.031579
3.381714 0.908238 26.996150 1011.465241
3.401725 0.907277 26.989053 1092.221053
3.421735 0.912896 26.991011 1177.061798
3.441745 0.909410 26.992421 1256.910526
3.461755 0.912919 26.992043 1335.000000
3.481765 0.914346 26.986809 1417.372340
3.501775 0.909463 26.985532 1491.026596
3.521785 0.916603 26.990939 1567.226519
3.541796 0.912651 26.994439 1641.491979
3.561806 0.915040 26.994225 1708.625668
3.581816 0.916566 26.993763 1780.198925
3.601826 0.914305 26.996087 1842.603261
3.621836 0.919190 26.995344 1905.767196
3.641846 0.916633 26.995385 1968.626374
3.661856 0.917917 26.999358 2023.882353
3.681867 0.920233 26.997838 2083.383784
3.701877 0.916686 26.990769 2137.939560
3.721887 0.921237 26.988877 2190.395722
3.741897 0.920811 26.990374 2246.748663
3.761907 0.918029 26.982667 2297.072222
3.781917 0.923536 26.983043 2349.021739
3.801927 0.919134 26.991351 2400.859459
3.821938 0.922331 26.992826 2449.440217
3.841948 0.922810 26.993261 2500.782609
3.861958 0.920551 26.991957 2549.250000
3.881968 0.925675 26.993978 2597.188172
3.901978 0.923109 26.993978 2646.892473
3.921988 0.924270 26.991732 2692.899441
3.941998 0.924573 26.979570 2739.817204
3.962009 0.924745 26.980328 2786.557377
3.982019 0.927339 26.987872 2831.696809
4.002029 0.927378 26.996957 2877.771739
4.022039 0.927602 26.993812 2921.502762
4.042049 0.930547 26.990820 2965.010929
4.062059 0.929986 26.995385 3010.703297
4.082069 0.932516 26.994066 3055.472527
4.102080 0.932192 26.993478 3101.766304
4.122090 0.933663 26.989834 3148.701657
4.142100 0.937889 26.985652 3196.695652
4.162110 0.935889 26.985495 3245.368132
4.182120 0.937228 26.988791 3293.219780
4.202130 0.939710 26.990508 3341.649718
4.222140 0.936862 26.990939 3389.569061
4.242151 0.943039 26.995269 3435.258065
4.262161 0.941047 26.992402 3480.949721
4.282171 0.940534 26.986369 3524.474860
4.302181 0.945338 26.988197 3566.125683
4.322191 0.940487 26.985698 3606.558659
4.342201 0.944320 26.990444 3646.655556
4.362211 0.943849 26.989943 3680.348571
4.382222 0.941650 26.984301 3717.639785
4.402232 0.947069 26.980110 3749.475138
4.422242 0.942920 26.983277 3783.350282
4.442252 0.943910 26.991061 3811.111732
