serial number: RI70_21209062
torque: 8
start_temp: 4 (244)
finish_temp: 16 (244)
note: montaz przymiar
0.000000 0.573454 131.144632 12060.784211
0.020010 0.575672 140.207619 12093.661376
0.040020 0.572315 143.071546 12115.793814
0.060030 0.576526 130.567789 12146.873684
0.080041 0.575898 123.381053 12171.557895
0.100051 0.574289 131.082062 12195.639175
0.120061 0.578466 136.679144 12219.914439
0.140071 0.574482 147.467644 12241.738220
0.160081 0.576783 137.748901 12263.167539
0.180091 0.578977 129.994171 12283.653266
0.200101 0.575310 136.340110 12301.939227
0.220112 0.580540 134.317513 12322.020725
0.240122 0.578496 128.960842 12340.615789
0.260132 0.578793 128.255106 12355.670213
0.280142 0.582331 131.665053 12375.821053
0.300152 0.578293 144.963770 12395.204188
0.320162 0.583308 141.415670 12410.546392
0.340172 0.582080 131.421957 12427.527174
0.360183 0.583039 119.305969 12445.848168
0.380193 0.585076 115.229727 12466.229508
0.400203 0.583072 115.734021 12480.881443
0.420213 0.586289 123.526845 12494.272727
0.440223 0.586944 127.214194 12517.295699
0.460233 0.584665 122.044064 12538.422460
0.480243 0.589999 130.978378 12551.610811
0.500254 0.587587 150.666667 12572.148148
0.520264 0.588034 135.954162 12597.821622
0.540274 0.589118 133.265952 12617.666667
0.560284 0.585091 123.360000 12638.925714
0.580294 0.589807 126.543659 12666.402439
0.600304 0.588229 127.985116 12694.534884
0.620314 0.587432 137.990353 12718.247059
0.640325 0.591852 142.561893 12752.988166
0.660335 0.587238 136.843059 12780.829412
0.680345 0.590381 138.161198 12815.179641
0.700355 0.590731 129.581754 12849.748538
0.720365 0.587421 122.047018 12882.754386
0.740375 0.593251 121.688092 12922.976879
0.760385 0.589018 140.690476 12955.791667
0.780396 0.591808 138.064000 12995.933333
0.800406 0.594189 130.815439 13030.918129
0.820416 0.588636 130.249704 13071.828402
0.840426 0.594380 124.260238 13108.976190
0.860436 0.592257 132.863273 13146.000000
0.880446 0.590674 132.772184 13187.293103
0.900456 0.595654 125.957844 13221.329341
0.920467 0.590863 130.290060 13262.754491
0.940477 0.593493 135.818837 13299.639535
0.960487 0.594724 139.543905 13331.343195
