serial number: RI70_21217414
torque: 12
start_temp: 23 (24)
finish_temp: 23 (24)
note: przed poprawkami
0.000000 0.206308 23.000000 10823.352113
0.020010 0.216078 23.003714 10876.135714
0.040020 0.201142 23.005906 10897.624161
0.060030 0.213495 23.004167 10956.111111
0.080041 0.204568 23.000000 10987.303448
0.100051 0.199009 23.010400 11020.846667
0.120061 0.218118 23.004348 11076.826087
0.140071 0.204770 23.026575 11095.678082
0.160081 0.213685 23.016170 11143.950355
0.180091 0.212873 23.042837 11182.730496
0.200101 0.199106 23.019474 11208.901316
0.220112 0.216949 23.004823 11264.687943
0.240122 0.206131 23.011268 11286.464789
0.260132 0.206050 23.002759 11326.324138
0.280142 0.215878 23.004857 11371.550000
0.300152 0.201348 23.002148 11393.476510
0.320162 0.218614 23.000588 11444.955882
0.340172 0.213177 23.041399 11474.048951
0.360183 0.203349 23.000000 11508.173611
0.380193 0.215358 23.000000 11558.471429
0.400203 0.202788 23.000000 11582.437086
0.420213 0.212883 23.010000 11632.592857
0.440223 0.211442 23.011189 11671.825175
0.460233 0.200784 23.000000 11708.151724
0.480243 0.223933 23.016115 11765.863309
0.500254 0.212335 23.005468 11800.446043
0.520264 0.210379 23.013239 11852.816901
0.540274 0.211570 23.014825 11903.174825
0.560284 0.198908 23.000000 11945.682119
0.580294 0.215574 23.006331 12005.194245
0.600304 0.209328 23.000833 12045.902778
0.620314 0.203869 23.000000 12099.074324
0.640325 0.221725 23.020000 12151.029412
0.660335 0.205630 23.001931 12194.075862
0.680345 0.212187 23.014085 12249.514085
0.700355 0.207067 23.020690 12290.882759
0.720365 0.197441 23.000000 12341.400000
0.740375 0.216592 23.029091 12390.006993
0.760385 0.205066 23.005833 12432.500000
0.780396 0.205687 23.014085 12484.964789
0.800406 0.214504 23.000000 12524.482014
0.820416 0.200091 23.000000 12577.432258
0.840426 0.211788 23.022411 12627.163121
0.860436 0.202085 23.045906 12668.617450
0.880446 0.198461 23.000000 12727.214765
0.900456 0.211726 23.000000 12768.397163
0.920467 0.200880 23.006623 12824.026490
0.940477 0.210505 23.000000 12876.366197
0.960487 0.204516 23.000000 12915.294521
0.980497 0.195901 23.019608 12977.222222
1.000507 0.212309 23.000000 13015.597222
1.020517 0.201113 23.013333 13066.273333
1.040528 0.206516 23.012676 13118.232394
1.060538 0.206601 23.010685 13147.547945
1.080548 0.196744 23.029935 13207.135484
1.100558 0.209212 23.028169 13240.669014
1.120568 0.199527 23.000000 13280.673203
1.140578 0.196523 23.027467 13335.173333
1.160588 0.204576 23.005986 13356.979592
1.180599 0.163009 23.004831 13434.328502
1.200609 0.208294 23.003636 13449.328671
1.220619 0.202920 23.009933 13479.671141
1.240629 0.176401 23.010275 13538.353211
1.260639 0.210777 23.010000 13559.802083
1.280649 0.199768 23.009353 13612.417910
1.300659 0.200208 23.014874 13660.316583
1.320670 0.193445 23.014634 13683.243902
1.340680 0.188936 23.009390 13749.084507
1.360690 0.201774 23.011429 13777.408163
1.380700 0.194657 23.009126 13821.024272
1.400710 0.194206 23.004314 13881.602941
1.420720 0.202538 23.000000 13901.565000
1.440730 0.194192 23.004878 13968.273171
1.460741 0.206306 23.013744 14007.030769
1.480751 0.201352 23.027475 14042.166667
1.500761 0.194595 23.013846 14111.057692
1.520771 0.206097 23.003282 14132.317949
1.540781 0.197350 23.011626 14194.408867
1.560791 0.204757 23.008290 14246.098446
1.580801 0.205511 23.022798 14271.569948
1.600812 0.194207 23.009479 14345.232227
1.620822 0.209170 23.026596 14374.297872
1.640832 0.202034 23.000000 14424.470000
