serial number: RI70_21217414
torque: 8
start_temp: 26 (27)
finish_temp: 26 (27)
note: po poprawkach
0.000000 0.361967 26.002870 11402.488789
0.020010 0.368759 26.001682 11435.228972
0.040020 0.360358 26.000000 11471.075893
0.060030 0.365919 26.000000 11505.325581
0.080041 0.364079 26.000000 11535.415525
0.100051 0.360029 26.000000 11570.822222
0.120061 0.367400 26.004404 11600.761468
0.140071 0.359617 26.004664 11633.493274
0.160081 0.362707 26.005556 11664.259259
0.180091 0.364247 26.003540 11693.610619
0.200101 0.358307 26.001629 11727.592760
0.220112 0.365904 26.012055 11757.068493
0.240122 0.361106 26.000000 11790.204545
0.260132 0.360384 26.003229 11822.439462
0.280142 0.367711 26.005872 11855.495413
0.300152 0.359377 26.000181 11893.348416
0.320162 0.366136 26.008767 11925.826484
0.340172 0.363295 26.004793 11964.861751
0.360183 0.359495 26.000179 12001.825112
0.380193 0.367576 26.010909 12038.477273
0.400203 0.360414 26.002557 12081.538813
0.420213 0.364034 26.000000 12115.215962
0.440223 0.364951 26.010417 12155.765625
0.460233 0.359525 26.000000 12195.823834
0.480243 0.366279 26.000000 12228.481865
0.500254 0.361797 26.000000 12271.663212
0.520264 0.361019 26.000209 12304.968586
0.540274 0.367817 26.005000 12338.979167
0.560284 0.360370 26.000000 12379.566327
0.580294 0.366520 26.000000 12407.306878
0.600304 0.364365 26.000000 12447.313131
0.620314 0.360997 26.001263 12482.021053
0.640325 0.369795 26.004021 12511.391534
0.660335 0.362425 26.008912 12555.067358
0.680345 0.366428 26.001481 12581.767196
0.700355 0.367428 26.000000 12621.005263
0.720365 0.362426 26.000000 12659.744898
0.740375 0.370263 26.006203 12689.834225
0.760385 0.366259 26.004330 12735.541237
0.780396 0.366238 26.009198 12766.411765
0.800406 0.372789 26.005503 12802.645503
0.820416 0.365331 26.006327 12844.683673
0.840426 0.372207 26.002174 12872.923913
0.860436 0.371257 26.003158 12913.257895
0.880446 0.368604 26.000000 12946.416667
0.900456 0.377106 25.993187 12974.120879
0.920467 0.369738 25.996042 13015.505208
0.940477 0.372934 26.000000 13039.659574
0.960487 0.374263 26.000000 13074.909091
0.980497 0.370491 26.000000 13108.154255
1.000507 0.377257 26.000000 13131.359788
1.020517 0.373100 26.000000 13172.766304
1.040528 0.373661 26.002340 13195.250000
1.060538 0.380238 26.004372 13228.622951
1.080548 0.373968 26.004064 13264.208556
1.100558 0.380149 26.002139 13290.213904
1.120568 0.377939 26.003226 13330.403226
1.140578 0.375216 26.000000 13361.836957
1.160588 0.383664 26.001957 13391.103261
1.180599 0.377497 26.003404 13435.510638
1.200609 0.382955 26.000000 13460.631285
1.220619 0.385447 26.003978 13502.651934
1.240629 0.381267 26.001530 13540.284153
1.260639 0.387322 26.003736 13570.730769
