serial number: RI70_21217417
torque: 8
start_temp: 23 (0)
finish_temp: 23 (10)
note: przed poprawkami
0.000000 0.213024 23.000000 6848.436170
0.020010 0.211956 23.000000 6944.682540
0.040020 0.213427 23.000000 7043.080214
0.060030 0.212926 23.000000 7140.689840
0.080041 0.211120 23.000000 7246.036842
0.100051 0.216443 23.000000 7345.297297
0.120061 0.212686 22.994624 7448.215054
0.140071 0.214178 23.000000 7560.131579
0.160081 0.214964 23.002826 7665.293478
0.180091 0.213733 23.002581 7775.026882
0.200101 0.217385 23.000000 7885.021739
0.220112 0.213744 23.000000 7995.619048
0.240122 0.214092 23.000000 8115.641711
0.260132 0.217044 23.000000 8225.244565
0.280142 0.214491 23.000000 8339.973118
0.300152 0.216654 23.000000 8457.431694
0.320162 0.215829 23.000000 8568.502703
0.340172 0.216211 23.000000 8685.946524
0.360183 0.221559 23.000000 8797.072222
0.380193 0.216473 23.000000 8905.576087
0.400203 0.218685 23.000000 9022.097826
0.420213 0.218768 23.000000 9125.778378
0.440223 0.217892 23.000000 9232.625000
0.460233 0.221506 23.000000 9335.022222
0.480243 0.218532 23.000000 9429.895028
0.500254 0.221041 23.000000 9530.944751
0.520264 0.224769 23.000000 9618.977528
0.540274 0.220346 23.000000 9706.890710
0.560284 0.222144 23.000000 9797.000000
0.580294 0.220888 23.000000 9875.266667
0.600304 0.222982 23.000000 9956.648045
0.620314 0.227445 23.000000 10031.647727
0.640325 0.221500 23.000000 10103.813187
0.660335 0.223270 23.000000 10180.528409
0.680345 0.225055 23.000000 10245.734807
0.700355 0.223104 23.000000 10314.000000
0.720365 0.226397 23.000000 10381.117978
0.740375 0.222261 23.000000 10441.256983
0.760385 0.225147 23.000000 10505.615819
0.780396 0.228257 23.000000 10561.902857
0.800406 0.222200 23.000000 10617.396648
0.820416 0.225459 23.000000 10676.284916
0.840426 0.223250 23.000000 10727.298343
0.860436 0.224647 23.000000 10782.134831
0.880446 0.228087 23.000000 10832.666667
0.900456 0.221920 23.000000 10882.342541
0.920467 0.224451 23.000000 10936.752809
0.940477 0.226429 23.000000 10982.612360
0.960487 0.223555 23.000000 11030.541899
0.980497 0.226213 23.000000 11079.172414
1.000507 0.220800 23.000000 11125.450549
1.020517 0.224134 23.000000 11171.124294
1.040528 0.227138 23.000000 11211.670391
1.060538 0.221533 23.000000 11252.061453
1.080548 0.224805 23.000000 11294.176136
1.100558 0.224400 23.000000 11332.216667
1.120568 0.224941 23.000000 11378.822222
1.140578 0.227604 23.000000 11418.827586
1.160588 0.222095 23.000000 11469.099448
1.180599 0.224149 23.000000 11513.666667
1.200609 0.226374 23.000000 11556.594286
1.220619 0.222488 23.000000 11592.824176
1.240629 0.226477 23.000000 11634.143678
1.260639 0.220664 23.000000 11661.230769
1.280649 0.226023 23.000000 11701.130682
1.300659 0.228440 23.000000 11725.293785
1.320670 0.222295 23.000000 11757.142857
1.340680 0.225688 23.000000 11787.622857
1.360690 0.224969 23.000000 11810.140449
1.380700 0.226324 23.000000 11839.567416
1.400710 0.229224 23.000000 11867.111111
1.420720 0.223116 23.000000 11886.000000
1.440730 0.227453 23.000000 11919.897727
1.460741 0.228481 23.000000 11938.271186
1.480751 0.224971 23.000000 11962.182857
1.500761 0.229164 23.000000 11989.810345
1.520771 0.223287 23.000000 12008.350000
1.540781 0.228343 23.000000 12033.664773
1.560791 0.228750 22.994286 12056.291429
1.580801 0.223438 23.000000 12078.915730
1.600812 0.227352 23.000000 12103.525140
1.620822 0.227116 23.000000 12126.764368
1.640832 0.226514 23.000000 12151.788571
1.660842 0.229455 23.000000 12174.514286
1.680852 0.222650 23.000000 12199.000000
1.700862 0.229070 23.000000 12222.471591
1.720872 0.230799 23.000000 12245.622857
1.740883 0.226491 23.000000 12269.585227
1.760893 0.231595 23.000000 12295.258621
1.780903 0.226347 23.000000 12320.222857
1.800913 0.231202 23.000000 12343.676301
1.820923 0.231519 23.000000 12371.668605
1.840933 0.225907 23.001798 12393.488764
1.860943 0.230441 23.003886 12422.857143
1.880954 0.229837 23.000000 12446.965714
1.900964 0.228511 23.000000 12474.448276
1.920974 0.231709 23.000000 12504.040936
1.940984 0.226626 23.000000 12531.903955
1.960994 0.233825 23.000000 12563.596491
1.981004 0.233185 23.000000 12592.105882
2.001014 0.228254 23.000000 12622.960227
2.021025 0.232305 23.000000 12656.813953
2.041035 0.229058 23.000000 12682.154286
2.061045 0.232957 23.000000 12713.213873
2.081055 0.232204 23.000000 12733.140351
2.101065 0.226522 23.000000 12762.863636
2.121075 0.231371 23.000000 12782.165714
2.141085 0.231079 23.000000 12808.260116
2.161096 0.229551 23.000000 12839.170588
2.181106 0.232435 23.000000 12861.517045
2.201116 0.226054 23.000000 12895.131429
2.221126 0.232256 23.000000 12924.752874
2.241136 0.231125 23.000000 12953.098266
2.261146 0.227764 23.000000 12992.074286
2.281156 0.232852 23.000000 13020.248555
2.301167 0.229502 23.000000 13055.726744
2.321177 0.232875 23.000000 13088.709302
2.341187 0.232083 23.000000 13121.574713
2.361197 0.226426 23.000000 13158.873563
2.381207 0.232301 23.000000 13191.931034
2.401217 0.230889 23.000000 13224.411429
2.421227 0.229600 23.000000 13264.676301
2.441238 0.233123 23.000000 13296.116279
2.461248 0.227964 23.000000 13336.761364
2.481258 0.233640 23.000000 13374.022857
2.501268 0.231007 23.000000 13407.035294
2.521278 0.227869 23.000000 13451.127168
2.541288 0.231543 23.000000 13485.619318
2.561298 0.227653 23.000000 13525.804598
2.581309 0.229097 23.000000 13567.585227
2.601319 0.229500 23.000000 13605.022727
2.621329 0.224880 23.000000 13653.084746
2.641339 0.230155 23.000000 13692.760000
2.661349 0.227800 23.000000 13736.039773
2.681359 0.225659 23.000000 13785.680000
2.701369 0.228699 23.000000 13828.250000
2.721380 0.224783 23.000000 13881.796610
2.741390 0.229992 23.000000 13928.718391
2.761400 0.226871 23.000000 13976.394286
2.781410 0.223489 23.003333 14035.405556
2.801420 0.228681 23.002286 14084.331429
2.821430 0.225896 23.000000 14141.314286
2.841440 0.227793 23.000000 14199.727273
2.861451 0.227543 23.000000 14256.062857
2.881461 0.222788 23.000000 14326.392265
2.901471 0.228274 23.000000 14385.909605
2.921481 0.225183 23.000000 14450.600000
2.941491 0.224637 23.000000 14523.458101
2.961501 0.227380 23.000000 14589.431818
2.981511 0.223875 23.000000 14666.145251
3.001522 0.229582 23.000000 14737.597701
3.021532 0.226816 23.000000 14811.875706
3.041542 0.224223 23.000000 14900.421348
3.061552 0.229737 23.000000 14977.062857
3.081562 0.225202 23.000000 15062.977401
3.101572 0.226871 23.000000 15152.463277
3.121583 0.226790 23.000000 15240.293785
3.141593 0.183529 23.000000 15381.481283
3.161603 0.226504 23.000000 15433.128788
3.181613 0.199898 23.000000 15537.282209
3.201623 0.193768 23.000000 15636.724138
3.221633 0.212666 23.000000 15735.467742
3.241643 0.214498 23.000000 15843.589474
3.261654 0.219079 23.000000 15947.486034
3.281664 0.218944 23.000000 16052.027174
3.301674 0.217074 23.000000 16168.313514
3.321684 0.223737 23.000000 16272.307263
3.341694 0.218021 23.000000 9037.775956
3.361704 0.218707 23.000000 107.704918
3.381714 0.219126 23.000000 215.344262
3.401725 0.216903 23.000000 327.005464
3.421735 0.221244 23.000000 430.966480
3.441745 0.216917 23.000000 534.483871
3.461755 0.216491 23.000000 646.859459
3.481765 0.220240 23.000000 748.313187
3.501775 0.217410 23.000000 849.705882
3.521785 0.220086 23.000000 950.764045
3.541796 0.219245 23.000000 1046.258065
3.561806 0.217329 23.000000 1148.207650
3.581816 0.223277 23.000000 1237.458101
3.601826 0.216283 23.000000 1323.827027
3.621836 0.219472 23.000000 1416.857923
3.641846 0.219631 23.000000 1501.278689
3.661856 0.218120 23.000000 1585.732240
3.681867 0.221544 23.000000 1664.101124
3.701877 0.217133 23.000000 1740.070270
3.721887 0.217276 23.000000 1822.930481
3.741897 0.222142 23.000000 1894.508475
3.761907 0.219356 23.000000 1962.679558
3.781917 0.221849 23.000000 2034.850829
3.801927 0.218942 23.000000 2100.099448
3.821938 0.218194 23.000000 2168.524064
3.841948 0.223129 23.000000 2229.337079
3.861958 0.216362 23.000000 2287.870968
3.881968 0.219504 23.000000 2350.508287
3.901978 0.219681 23.000000 2407.329730
3.921988 0.218187 23.000000 2463.606557
3.941998 0.221423 23.000000 2516.642458
3.962009 0.218306 23.000000 2567.728261
3.982019 0.220546 23.000000 2623.160221
4.002029 0.224672 23.000000 2671.301676
4.022039 0.219158 23.000000 2715.988950
4.042049 0.221818 23.000000 2762.377778
4.062059 0.219040 23.000000 2808.324324
4.082069 0.220170 23.000000 2852.322222
4.102080 0.224345 22.999101 2889.623596
4.122090 0.217855 22.995484 2929.677419
4.142100 0.220802 23.000000 2969.088889
4.162110 0.222016 23.000000 3005.733333
4.182120 0.220729 23.000000 3041.557377
4.202130 0.222794 23.000000 3074.892655
4.222140 0.219315 23.000000 3107.601093
4.242151 0.221103 23.000000 3141.472527
4.262161 0.224369 23.000000 3171.960894
4.282171 0.218255 23.000000 3198.289617
4.302181 0.221227 22.995333 3225.977778
4.322191 0.219271 22.999135 3251.335135
4.342201 0.220747 23.000000 3283.532967
4.362211 0.223296 23.000000 3316.550562
4.382222 0.216254 23.000000 3347.331522
4.402232 0.219869 23.005435 3377.483696
4.422242 0.222335 23.000000 3397.477778
4.442252 0.220687 23.000000 3423.878453
4.462262 0.221981 23.000000 3448.938547
4.482272 0.216340 23.000000 3477.657754
4.502282 0.220304 23.000000 3505.448087
4.522293 0.224059 23.000000 3524.520000
4.542303 0.218532 23.000000 3550.854054
4.562313 0.221404 23.000000 3582.961538
4.582323 0.219248 23.005464 3613.234973
4.602333 0.220397 23.000000 3640.441989
4.622343 0.222777 23.000000 3671.735955
4.642353 0.216305 23.000000 3705.232432
4.662364 0.220642 23.000000 3733.895604
4.682374 0.222462 23.000000 3771.061453
4.702384 0.219337 23.000000 3800.637363
4.722394 0.221574 23.000000 3831.627778
4.742404 0.217615 23.000000 3866.277174
4.762414 0.221467 23.000000 3890.513812
4.782424 0.223454 23.000000 3926.223464
4.802435 0.217592 23.000000 3942.244565
4.822445 0.219984 23.000000 3972.591160
4.842455 0.219765 23.000000 3996.655738
4.862465 0.220724 23.000000 4009.983784
4.882475 0.222321 23.000000 4031.514124
4.902485 0.214994 23.000000 4050.320856
4.922495 0.219197 23.000000 4064.445055
4.942506 0.219621 23.000000 4075.263736
4.962516 0.215711 23.000000 4091.978378
4.982526 0.218515 23.000000 4107.540541
5.002536 0.215079 23.000000 4120.989189
5.022546 0.218906 23.000000 4132.292818
5.042556 0.219648 23.000000 4144.189189
5.062567 0.214064 23.000000 4159.430108
5.082577 0.217049 23.000000 4175.147541
5.102587 0.218289 23.000000 4189.597826
5.122597 0.218253 23.000000 4206.770492
5.142607 0.220363 23.000000 4223.745856
5.162617 0.213433 23.000000 4242.617021
5.182627 0.218195 23.000000 4263.491892
5.202638 0.219262 23.000000 4284.469613
5.222648 0.215431 23.000000 4307.403226
5.242658 0.216606 23.000000 4329.065217
5.262668 0.213818 23.000000 4354.063492
5.282678 0.216720 23.000000 4381.863388
5.302688 0.218182 23.000000 4404.333333
5.322698 0.213623 23.000000 4439.143617
5.342709 0.215974 23.000000 4459.340659
5.362719 0.215011 23.000000 4500.708995
5.382729 0.212843 23.000000 4525.053191
5.402739 0.215068 23.000000 4563.163934
5.422749 0.210092 23.000000 4596.115789
5.442759 0.215471 23.000000 4629.143617
5.462769 0.215138 23.000000 4670.411765
5.482780 0.211999 23.000000 4705.767196
5.502790 0.213724 23.000000 4743.344086
5.522800 0.211309 23.000000 4778.206349
5.542810 0.214921 22.994709 4821.968254
5.562820 0.214677 23.000000 4857.543011
5.582830 0.210062 22.999368 4898.026316
5.602840 0.214071 22.995319 4936.313830
5.622851 0.213000 23.000000 4972.165775
5.642861 0.211803 23.000000 5017.117021
5.662871 0.213417 23.000000 5054.000000
5.682881 0.208517 23.000000 5092.215789
5.702891 0.213334 23.000000 5127.826316
5.722901 0.212209 23.000000 5160.165775
5.742911 0.210317 23.000000 5203.336788
5.762922 0.211937 23.000000 5245.381720
5.782932 0.210422 23.000000 5292.706806
