serial number: RI80_21414850
torque: 16
start_temp: 24 (25)
finish_temp: 24 (25)
note: montaz na obrotach
0.000000 0.274485 24.000000 8201.994475
0.020010 0.273863 24.000000 8267.223464
0.040020 0.275255 24.000000 8354.192513
0.060030 0.273815 24.000000 8423.791209
0.080041 0.274814 24.000000 8498.109890
0.100051 0.275712 24.000000 8576.967033
0.120061 0.274473 24.000000 8637.994505
0.140071 0.274216 24.000000 8719.907609
0.160081 0.275140 24.000000 8790.674157
0.180091 0.274901 24.000000 8851.637363
0.200101 0.276148 24.005495 8936.417582
0.220112 0.274219 24.000000 8998.287293
0.240122 0.274890 24.000000 9071.241758
0.260132 0.275235 24.000000 9149.423077
0.280142 0.275080 24.000000 9207.699454
0.300152 0.275039 24.000000 9290.652174
0.320162 0.274136 24.000000 9358.088889
0.340172 0.274906 24.000000 9421.413043
0.360183 0.275943 24.000000 9501.391061
0.380193 0.275411 24.000000 9555.727778
0.400203 0.274622 24.000000 9627.891304
0.420213 0.275560 24.000000 9697.540984
0.440223 0.275756 24.000000 9748.585635
0.460233 0.276572 24.000000 9824.642857
0.480243 0.275029 24.002652 9878.535912
0.500254 0.274699 24.002905 9937.491620
0.520264 0.276525 24.000000 10006.524324
0.540274 0.275696 24.000000 10052.927778
0.560284 0.275633 24.000000 10122.250000
0.580294 0.275559 24.004396 10178.631868
0.600304 0.275576 24.001099 10229.824176
0.620314 0.276796 24.000000 10299.364641
0.640325 0.276191 24.000000 10345.149171
0.660335 0.275221 24.000000 10409.127072
0.680345 0.276383 24.000000 10468.284153
0.700355 0.276041 24.000000 10515.977528
0.720365 0.275590 24.000000 10584.758242
0.740375 0.274862 24.000000 10634.124324
0.760385 0.274592 24.000000 10692.413408
0.780396 0.276428 24.000000 10753.469945
0.800406 0.275478 24.000000 10800.664865
0.820416 0.274741 24.000000 10867.268571
0.840426 0.275757 24.001099 10919.109890
0.860436 0.276110 24.004324 10971.335135
0.880446 0.276471 24.000000 11035.488764
0.900456 0.275063 24.000000 11080.628415
0.920467 0.274568 24.000000 11142.754190
0.940477 0.276006 24.000000 11195.245902
0.960487 0.275637 24.000000 11243.360656
0.980497 0.276025 24.000000 11305.174863
1.000507 0.274766 24.000000 11348.453039
1.020517 0.275123 24.000000 11402.494444
1.040528 0.276773 24.000000 11452.638889
1.060538 0.275771 24.000000 11494.808743
1.080548 0.274976 24.000000 11551.296089
1.100558 0.275700 24.000000 11588.988950
