serial number: JANUSZ_2_RI80_21414848
torque: 16
start_temp: 23 (24)
finish_temp: 23 (24)
note: po ostygnieciu
0.000000 0.150873 23.013814 8570.623711
0.020010 0.148881 23.038462 8702.182692
0.040020 0.146128 23.026200 8821.980000
0.060030 0.150696 23.017030 8978.034653
0.080041 0.147666 23.018128 9089.467980
0.100051 0.148966 23.014328 9218.149254
0.120061 0.147820 23.026404 9354.709360
0.140071 0.145844 23.017087 9457.961165
0.160081 0.151635 23.036181 9592.402010
0.180091 0.147153 23.000000 9694.539604
0.200101 0.147132 23.013529 9792.980392
0.220112 0.148450 23.006108 9913.369458
0.240122 0.145889 23.012488 9992.302439
0.260132 0.148606 23.007059 10090.112745
0.280142 0.147115 23.018416 10176.935644
0.300152 0.143975 23.015769 10245.269231
0.320162 0.148770 23.000394 10339.650246
0.340172 0.146024 23.009412 10400.926471
0.360183 0.146566 23.006796 10470.941748
0.380193 0.146462 23.008756 10550.000000
0.400203 0.144624 23.019139 10604.105263
0.420213 0.149644 23.023960 10680.599010
0.440223 0.146610 23.000000 10736.995074
0.460233 0.145531 23.014563 10791.179612
0.480243 0.147890 23.008235 10863.044118
0.500254 0.146806 23.006502 10905.709360
0.520264 0.147761 23.015098 10963.382353
0.540274 0.147301 23.026798 11015.108374
0.560284 0.145135 23.017308 11055.067308
0.580294 0.149935 23.034059 11112.643564
0.600304 0.147250 23.001592 11147.343284
0.620314 0.147336 23.003317 11187.507317
0.640325 0.147774 23.008557 11233.895522
0.660335 0.146396 23.006214 11262.922330
0.680345 0.150661 23.004000 11308.035000
0.700355 0.147692 23.016000 11339.305000
0.720365 0.146172 23.030874 11368.417476
0.740375 0.149282 23.027192 11412.320197
0.760385 0.148414 23.018109 11432.870647
0.780396 0.148876 23.003564 11470.024752
0.800406 0.148292 23.008670 11500.512315
0.820416 0.146137 23.017366 11526.317073
0.840426 0.151335 23.025859 11565.838384
0.860436 0.148189 23.038235 11586.362745
0.880446 0.147315 23.012537 11617.885572
0.900456 0.148175 23.014510 11650.906863
0.920467 0.147181 23.023725 11671.372549
0.940477 0.150270 23.022513 11709.698492
0.960487 0.147771 23.033433 11728.975124
0.980497 0.146351 23.014563 11759.213592
1.000507 0.150772 23.015000 11790.560000
1.020517 0.149079 23.000000 11809.710784
1.040528 0.147839 23.000000 11842.167488
1.060538 0.148180 23.014925 11862.756219
1.080548 0.147620 23.040197 11886.541872
1.100558 0.151313 23.009293 11914.601010
1.120568 0.148707 23.009950 11927.751244
1.140578 0.146694 23.020098 11954.092683
1.160588 0.149071 23.031089 11974.747525
1.180599 0.148979 23.009353 11989.915423
1.200609 0.150389 23.008643 12017.592965
1.220619 0.148318 23.014925 12029.815920
1.240629 0.147448 23.015294 12052.450980
1.260639 0.151130 23.027662 12076.796020
1.280649 0.148885 23.032079 12088.648515
1.300659 0.149250 23.009293 12117.161616
1.320670 0.149513 23.032637 12133.567164
1.340680 0.148216 23.002157 12152.269608
1.360690 0.152502 23.000000 12181.142132
1.380700 0.148280 23.012935 12193.034826
1.400710 0.147530 23.026863 12217.705882
1.420720 0.150577 23.024848 12239.313131
1.440730 0.148947 23.025222 12256.310345
1.460741 0.150996 23.015000 12281.520000
1.480751 0.148967 23.035200 12293.410000
1.500761 0.148297 23.013922 12319.230392
1.520771 0.152211 23.035077 12337.851282
1.540781 0.150143 23.039801 12348.711443
1.560791 0.149864 23.015477 12376.914573
1.580801 0.150625 23.015323 12388.437811
1.600812 0.150493 23.019184 12403.918367
1.620822 0.153838 23.029184 12427.137755
1.640832 0.150391 23.002574 12436.594059
1.660842 0.149493 23.018090 12459.135678
1.680852 0.152660 23.012929 12472.383838
1.700862 0.151564 23.017755 12489.489796
1.720872 0.152172 23.034898 12515.464286
1.740883 0.149721 23.022463 12524.413793
1.760893 0.150551 23.035330 12549.553299
1.780903 0.153224 23.011753 12571.664948
1.800913 0.151075 23.033267 12584.529703
1.820923 0.150528 22.994898 12614.586735
1.840933 0.150587 23.009796 12629.515306
1.860943 0.151693 23.024694 12651.668367
1.880954 0.152681 23.015025 12678.908629
1.900964 0.149634 23.046766 12691.885572
1.920974 0.149577 23.033200 12720.845000
1.940984 0.152339 23.017576 12740.353535
1.960994 0.151154 23.013065 12760.633166
1.981004 0.151539 23.020508 12790.614213
2.001014 0.149438 23.020498 12805.338308
2.021025 0.151025 23.017374 12833.878788
2.041035 0.152007 23.007800 12859.820000
