serial number: JANUSZ_3_RI70_21414871
torque: 12
start_temp: 25 (25)
finish_temp: 25 (25)
note: rezonacja?, przepuszczono
0.000000 0.214866 25.000000 0.000000
0.020010 0.218629 25.000000 0.000000
0.040020 0.214644 25.000000 0.000000
0.060030 0.216842 25.000000 0.000000
0.080041 0.219650 25.000000 0.000000
0.100051 0.217520 25.000000 0.000000
0.120061 0.219594 25.000000 0.000000
0.140071 0.217212 25.000000 0.000000
0.160081 0.214895 25.000000 0.000000
0.180091 0.221029 25.000000 0.000000
0.200101 0.218162 25.000000 0.000000
0.220112 0.217876 25.000000 0.000000
0.240122 0.218815 25.000000 0.000000
0.260132 0.214524 25.000000 0.000000
0.280142 0.219383 25.000000 0.000000
0.300152 0.216015 25.000000 0.000000
0.320162 0.215291 25.000000 0.000000
0.340172 0.218288 25.000000 0.000000
0.360183 0.214817 25.000000 0.000000
0.380193 0.217147 25.000000 0.000000
0.400203 0.217515 25.000000 0.000000
0.420213 0.214381 25.000000 0.000000
0.440223 0.219310 25.000000 0.000000
0.460233 0.215305 25.000000 0.000000
0.480243 0.216390 25.000000 0.000000
0.500254 0.217677 25.000000 0.000000
0.520264 0.212302 25.000000 0.000000
0.540274 0.218469 25.000000 0.000000
0.560284 0.215582 25.000000 0.000000
0.580294 0.213527 25.000000 0.000000
0.600304 0.216547 25.000000 0.000000
0.620314 0.212571 25.000000 0.000000
0.640325 0.215437 25.000000 0.000000
0.660335 0.215157 25.000000 0.000000
0.680345 0.213631 25.000000 0.000000
0.700355 0.216687 25.000000 0.000000
0.720365 0.213858 25.000000 0.000000
0.740375 0.212872 25.000000 0.000000
0.760385 0.214231 25.000000 0.000000
0.780396 0.191213 25.000000 0.000000
0.800406 0.213696 24.999477 0.000000
0.820416 0.213272 24.995080 0.000000
0.840426 0.209799 25.000000 0.000000
0.860436 0.214704 25.000000 0.000000
0.880446 0.210595 25.000000 0.000000
0.900456 0.212111 25.000000 0.000000
0.920467 0.212614 25.000000 0.000000
0.940477 0.208838 25.000000 0.000000
0.960487 0.214706 25.000000 0.000000
0.980497 0.210841 25.000000 0.000000
1.000507 0.209260 25.000000 0.000000
1.020517 0.211393 25.000000 0.000000
1.040528 0.208689 25.000000 0.000000
1.060538 0.214762 25.000000 0.000000
1.080548 0.211388 25.000000 0.000000
1.100558 0.208417 25.000000 0.000000
1.120568 0.212723 25.000000 0.000000
1.140578 0.209924 25.000000 0.000000
1.160588 0.212464 25.000000 0.000000
1.180599 0.211665 25.000000 0.000000
1.200609 0.209024 25.000000 0.000000
1.220619 0.215190 25.000000 0.000000
1.240629 0.213912 25.000000 0.000000
1.260639 0.210966 25.000000 0.000000
1.280649 0.212736 25.000000 0.000000
1.300659 0.210277 25.000000 0.000000
1.320670 0.215847 25.000000 0.000000
