serial number: JANUSZ_3_RI70_21414871
torque: 8
start_temp: 25 (25)
finish_temp: 25 (25)
note: rezonacja?, przepuszczono
0.000000 0.089617 25.000000 0.000000
0.020010 0.091356 25.000000 0.000000
0.040020 0.087950 25.000000 0.000000
0.060030 0.090496 25.000000 0.000000
0.080041 0.091339 25.000000 0.000000
0.100051 0.089305 25.000000 0.000000
0.120061 0.090860 25.000000 0.000000
0.140071 0.090090 25.000000 0.000000
0.160081 0.090834 25.000000 0.000000
0.180091 0.091476 25.000000 0.000000
0.200101 0.089984 25.000000 0.000000
0.220112 0.092103 25.000000 0.000000
0.240122 0.091492 25.000000 0.000000
0.260132 0.089685 25.000000 0.000000
0.280142 0.091627 25.000000 0.000000
0.300152 0.089508 25.000000 0.000000
0.320162 0.090487 25.000000 0.000000
0.340172 0.088483 25.000000 0.000000
0.360183 0.088047 25.000000 0.000000
0.380193 0.090195 25.000000 0.000000
0.400203 0.089586 25.000000 0.000000
0.420213 0.088869 25.000000 0.000000
0.440223 0.089910 25.000000 0.000000
0.460233 0.088254 25.000000 0.000000
0.480243 0.089667 25.000000 0.000000
0.500254 0.089845 25.000000 0.000000
0.520264 0.087767 25.000000 0.000000
0.540274 0.090358 25.000000 0.000000
0.560284 0.088998 25.000000 0.000000
0.580294 0.088170 25.000000 0.000000
0.600304 0.089071 25.000000 0.000000
0.620314 0.087568 25.000000 0.000000
0.640325 0.090913 25.000000 0.000000
0.660335 0.089700 25.000000 0.000000
0.680345 0.089069 25.000000 0.000000
0.700355 0.090148 25.000000 0.000000
0.720365 0.087776 25.000000 0.000000
0.740375 0.090199 25.000000 0.000000
0.760385 0.088738 25.000000 0.000000
0.780396 0.086671 25.000000 0.000000
0.800406 0.089123 25.000000 0.000000
0.820416 0.088059 25.000000 0.000000
0.840426 0.086253 25.000000 0.000000
0.860436 0.087086 25.000000 0.000000
0.880446 0.085353 25.000000 0.000000
0.900456 0.089124 25.000000 0.000000
0.920467 0.089612 25.000000 0.000000
0.940477 0.085908 25.000000 0.000000
0.960487 0.089332 25.000000 0.000000
0.980497 0.087005 25.000000 0.000000
1.000507 0.089387 25.000000 0.000000
1.020517 0.088365 25.000000 0.000000
1.040528 0.086909 25.000000 0.000000
1.060538 0.090228 25.000000 0.000000
1.080548 0.087548 25.000000 0.000000
1.100558 0.087730 25.000000 0.000000
1.120568 0.087922 25.000000 0.000000
1.140578 0.086631 25.000000 0.000000
1.160588 0.089154 25.000000 0.000000
1.180599 0.087849 25.000000 0.000000
1.200609 0.085804 25.000000 0.000000
1.220619 0.088228 25.000000 0.000000
1.240629 0.088580 25.000000 0.000000
1.260639 0.088050 25.000000 0.000000
1.280649 0.086130 25.000000 0.000000
1.300659 0.084395 25.000000 0.000000
1.320670 0.088833 25.000000 0.000000
1.340680 0.087942 25.000000 0.000000
1.360690 0.087097 25.000000 0.000000
1.380700 0.087061 25.000000 0.000000
1.400710 0.083333 25.000000 0.000000
1.420720 0.086728 25.000000 0.000000
1.440730 0.085825 25.000000 0.000000
1.460741 0.085288 25.000000 0.000000
1.480751 0.087767 25.000000 0.000000
1.500761 0.086518 25.000000 0.000000
1.520771 0.088791 25.000000 0.000000
1.540781 0.084909 25.000000 0.000000
1.560791 0.085938 25.000000 0.000000
1.580801 0.090303 25.000000 0.000000
1.600812 0.088969 25.000000 0.000000
1.620822 0.086221 25.000000 0.000000
1.640832 0.086078 25.000000 0.000000
1.660842 0.086432 25.000000 0.000000
1.680852 0.090595 25.000000 0.000000
1.700862 0.088509 25.000000 0.000000
1.720872 0.087225 25.000000 0.000000
1.740883 0.089426 25.000000 0.000000
1.760893 0.088170 25.000000 0.000000
1.780903 0.090665 25.000000 0.000000
1.800913 0.087072 25.000000 0.000000
1.820923 0.088696 25.000000 0.000000
1.840933 0.093076 25.000000 0.000000
1.860943 0.090274 25.000000 0.000000
1.880954 0.088324 25.000000 0.000000
1.900964 0.087374 25.000000 0.000000
1.920974 0.087364 25.000000 0.000000
1.940984 0.093921 25.000000 0.000000
1.960994 0.090282 25.000000 0.000000
1.981004 0.087898 25.000000 0.000000
2.001014 0.089853 25.000000 0.000000
2.021025 0.088575 25.000000 0.000000
2.041035 0.093773 25.000000 0.000000
2.061045 0.086130 25.000000 0.000000
2.081055 0.087142 25.000000 0.000000
2.101065 0.090771 25.000000 0.000000
2.121075 0.089228 25.000000 0.000000
2.141085 0.088140 25.000000 0.000000
2.161096 0.087142 25.000000 0.000000
2.181106 0.088573 25.000000 0.000000
2.201116 0.093622 25.000000 0.000000
2.221126 0.089945 25.000000 0.000000
2.241136 0.087176 25.000000 0.000000
2.261146 0.090837 25.000000 0.000000
2.281156 0.089059 25.000000 0.000000
2.301167 0.093124 25.000000 0.000000
2.321177 0.087515 25.000000 0.000000
2.341187 0.088681 25.000000 0.000000
2.361197 0.093323 25.000000 0.000000
2.381207 0.090863 25.000000 0.000000
2.401217 0.089546 25.000000 0.000000
2.421227 0.088270 25.000000 0.000000
2.441238 0.088382 25.000000 0.000000
2.461248 0.095277 25.000000 0.000000
2.481258 0.090587 25.000000 0.000000
2.501268 0.088816 25.000000 0.000000
2.521278 0.090904 25.000000 0.000000
2.541288 0.088995 25.000000 0.000000
2.561298 0.093584 25.000000 0.000000
2.581309 0.088279 25.000000 0.000000
2.601319 0.089188 25.000000 0.000000
2.621329 0.092751 25.000000 0.000000
2.641339 0.089342 25.000000 0.000000
2.661349 0.088344 25.000000 0.000000
2.681359 0.088773 25.000000 0.000000
2.701369 0.089159 25.000000 0.000000
2.721380 0.093691 25.000000 0.000000
2.741390 0.089417 25.000000 0.000000
2.761400 0.087224 25.000000 0.000000
2.781410 0.091407 25.000000 0.000000
2.801420 0.089604 25.000000 0.000000
2.821430 0.093210 25.000000 0.000000
2.841440 0.088223 25.000000 0.000000
2.861451 0.088277 25.000000 0.000000
2.881461 0.092880 25.000000 0.000000
2.901471 0.088672 25.000000 0.000000
2.921481 0.089609 25.000000 0.000000
2.941491 0.087714 25.000000 0.000000
2.961501 0.089698 25.000000 0.000000
2.981511 0.093624 25.000000 0.000000
3.001522 0.089909 25.000000 0.000000
3.021532 0.089549 25.000000 0.000000
3.041542 0.090706 25.000000 0.000000
3.061552 0.089584 25.000000 0.000000
3.081562 0.090263 25.000000 0.000000
3.101572 0.088488 25.000000 0.000000
3.121583 0.085813 25.000000 0.000000
3.141593 0.088427 25.000000 0.000000
3.161603 0.087976 25.000000 0.000000
3.181613 0.088289 25.000000 0.000000
3.201623 0.088194 25.000000 0.000000
3.221633 0.090068 25.000000 0.000000
3.241643 0.092166 25.000000 0.000000
3.261654 0.089937 25.000000 0.000000
3.281664 0.089961 25.000000 0.000000
3.301674 0.092111 25.000000 0.000000
3.321684 0.089606 25.000000 0.000000
3.341694 0.091305 25.000000 0.000000
3.361704 0.090436 25.000000 0.000000
3.381714 0.091452 25.000000 0.000000
3.401725 0.092290 25.000000 0.000000
3.421735 0.090066 25.000000 0.000000
3.441745 0.089392 25.000000 0.000000
3.461755 0.089808 25.000000 0.000000
3.481765 0.091647 25.000000 0.000000
3.501775 0.089019 25.000000 0.000000
3.521785 0.090459 25.000000 0.000000
3.541796 0.090402 25.000000 0.000000
3.561806 0.091904 25.000000 0.000000
3.581816 0.090497 25.000000 0.000000
3.601826 0.088691 25.000000 0.000000
3.621836 0.090202 25.000000 0.000000
3.641846 0.091084 25.000000 0.000000
3.661856 0.090450 25.000000 0.000000
3.681867 0.089821 25.000000 0.000000
3.701877 0.090082 25.000000 0.000000
3.721887 0.091821 25.000000 0.000000
3.741897 0.091167 25.000000 0.000000
3.761907 0.088741 25.000000 0.000000
3.781917 0.090329 25.000000 0.000000
3.801927 0.091182 25.000000 0.000000
3.821938 0.091275 25.000000 0.000000
3.841948 0.090434 25.000000 0.000000
3.861958 0.089351 25.000000 0.000000
3.881968 0.090940 25.000000 0.000000
3.901978 0.092411 25.000000 0.000000
3.921988 0.088618 25.000000 0.000000
3.941998 0.089398 25.000000 0.000000
3.962009 0.091190 25.000000 0.000000
3.982019 0.090948 25.000000 0.000000
4.002029 0.090880 25.000000 0.000000
4.022039 0.087256 25.000000 0.000000
4.042049 0.090397 25.000000 0.000000
