serial number: JANUSZ_3_RI80_21414841
torque: 16
start_temp: 41 (45)
finish_temp: 41 (43)
note: po dotarciu
0.000000 0.194477 41.000000 0.000000
0.020010 0.193521 41.000000 0.000000
0.040020 0.176821 41.000000 0.000000
0.060030 0.200671 41.000000 0.000000
0.080041 0.177610 41.000000 0.000000
0.100051 0.182572 41.000000 0.000000
0.120061 0.194208 41.000000 0.000000
0.140071 0.169539 41.000000 0.000000
0.160081 0.196255 41.000000 0.000000
0.180091 0.187898 41.000000 0.000000
0.200101 0.179272 41.000000 0.000000
0.220112 0.198758 41.000000 0.000000
0.240122 0.174342 41.000000 0.000000
0.260132 0.191978 41.000000 0.000000
0.280142 0.190323 41.000000 0.000000
0.300152 0.161125 41.000000 0.000000
0.320162 0.192481 41.012877 0.000000
0.340172 0.177780 41.000635 0.000000
0.360183 0.184863 41.000000 0.000000
0.380193 0.197053 41.000000 0.000000
0.400203 0.171060 41.000000 0.000000
0.420213 0.197219 41.000000 0.000000
0.440223 0.187654 41.000000 0.000000
0.460233 0.172517 41.000000 0.000000
0.480243 0.197364 41.000000 0.000000
0.500254 0.176083 41.000000 0.000000
0.520264 0.193463 41.000000 0.000000
0.540274 0.196402 41.000000 0.000000
0.560284 0.175238 41.000000 0.000000
0.580294 0.196858 41.000000 0.000000
0.600304 0.177157 41.000000 0.000000
0.620314 0.188377 41.000000 0.000000
0.640325 0.201233 41.000000 0.000000
0.660335 0.177642 41.000000 0.000000
0.680345 0.201572 41.000000 0.000000
0.700355 0.190969 41.000000 0.000000
0.720365 0.184193 41.000000 0.000000
0.740375 0.198694 41.000000 0.000000
0.760385 0.176226 41.000000 0.000000
0.780396 0.196594 41.000000 0.000000
0.800406 0.200481 41.000000 0.000000
0.820416 0.178362 41.000000 0.000000
0.840426 0.207414 41.000000 0.000000
0.860436 0.185684 41.000000 0.000000
0.880446 0.188315 41.000000 0.000000
0.900456 0.199081 41.000000 0.000000
0.920467 0.174564 41.000000 0.000000
0.940477 0.205113 41.000000 0.000000
0.960487 0.203069 41.000000 0.000000
0.980497 0.184144 41.000000 0.000000
1.000507 0.206601 41.000000 0.000000
1.020517 0.178769 41.000000 0.000000
1.040528 0.197402 41.000000 0.000000
1.060538 0.201001 41.000000 0.000000
1.080548 0.170142 41.000000 0.000000
1.100558 0.201565 41.000000 0.000000
1.120568 0.187853 41.000000 0.000000
1.140578 0.188202 41.000000 0.000000
1.160588 0.204041 41.000000 0.000000
1.180599 0.173369 41.000000 0.000000
1.200609 0.204238 41.000000 0.000000
1.220619 0.193849 41.000000 0.000000
1.240629 0.174923 41.000000 0.000000
1.260639 0.201559 41.000000 0.000000
1.280649 0.185960 41.000000 0.000000
