serial number: JANUSZ_3_RI80_21414841
torque: 16
start_temp: 26 (26)
finish_temp: 26 (26)
note: ma interpolacje
0.000000 0.107559 26.000000 0.000000
0.020010 0.106935 26.000000 0.000000
0.040020 0.098202 26.000000 0.000000
0.060030 0.106143 26.000000 0.000000
0.080041 0.094009 26.000000 0.000000
0.100051 0.098206 26.000000 0.000000
0.120061 0.099172 26.000000 0.000000
0.140071 0.087989 26.000000 0.000000
0.160081 0.105717 25.993922 0.000000
0.180091 0.097460 25.996000 0.000000
0.200101 0.093994 26.000000 0.000000
0.220112 0.098238 26.000000 0.000000
0.240122 0.091427 26.000000 0.000000
0.260132 0.104558 26.000000 0.000000
0.280142 0.105985 26.000000 0.000000
0.300152 0.099066 26.000000 0.000000
0.320162 0.107618 26.000000 0.000000
0.340172 0.104320 26.000000 0.000000
0.360183 0.099970 26.000000 0.000000
0.380193 0.097347 26.000000 0.000000
0.400203 0.082642 26.000000 0.000000
0.420213 0.099468 26.000000 0.000000
0.440223 0.101558 26.000000 0.000000
0.460233 0.102499 26.000000 0.000000
0.480243 0.098620 26.000000 0.000000
0.500254 0.087484 26.000000 0.000000
0.520264 0.100672 26.000000 0.000000
0.540274 0.106325 26.000000 0.000000
0.560284 0.097301 26.000000 0.000000
0.580294 0.104016 26.000000 0.000000
0.600304 0.098819 26.000000 0.000000
0.620314 0.101590 26.000000 0.000000
0.640325 0.103926 26.000000 0.000000
0.660335 0.083488 26.000000 0.000000
0.680345 0.102787 26.000000 0.000000
0.700355 0.100997 26.000000 0.000000
0.720365 0.094986 26.000000 0.000000
0.740375 0.102055 26.000000 0.000000
0.760385 0.081723 26.000000 0.000000
0.780396 0.101932 26.000000 0.000000
0.800406 0.113060 26.000000 0.000000
0.820416 0.097333 26.000000 0.000000
0.840426 0.090011 26.000000 0.000000
0.860436 0.085987 26.000000 0.000000
0.880446 0.096701 26.000000 0.000000
0.900456 0.105382 26.000000 0.000000
0.920467 0.093174 26.000000 0.000000
0.940477 0.102603 26.000000 0.000000
0.960487 0.102859 26.000000 0.000000
0.980497 0.093602 26.000000 0.000000
1.000507 0.101013 26.000000 0.000000
1.020517 0.095351 26.000000 0.000000
1.040528 0.104939 26.000000 0.000000
1.060538 0.114649 26.000000 0.000000
1.080548 0.102976 26.000000 0.000000
1.100558 0.110314 26.000000 0.000000
1.120568 0.104007 26.000000 0.000000
1.140578 0.105254 26.000000 0.000000
1.160588 0.112733 26.000000 0.000000
1.180599 0.101592 26.000000 0.000000
1.200609 0.105919 26.000000 0.000000
1.220619 0.100795 26.000000 0.000000
1.240629 0.097931 26.000000 0.000000
1.260639 0.106439 26.000000 0.000000
1.280649 0.100097 26.000000 0.000000
1.300659 0.101828 26.000000 0.000000
1.320670 0.111397 26.000000 0.000000
1.340680 0.104866 25.994350 0.000000
1.360690 0.112947 26.000000 0.000000
1.380700 0.112780 26.000000 0.000000
1.400710 0.111307 26.000000 0.000000
1.420720 0.111736 26.000000 0.000000
1.440730 0.087817 26.000000 0.000000
1.460741 0.105553 26.000000 0.000000
1.480751 0.109251 26.000000 0.000000
1.500761 0.095654 26.000000 0.000000
1.520771 0.113168 26.000000 0.000000
1.540781 0.097728 26.000000 0.000000
1.560791 0.107550 26.000000 0.000000
1.580801 0.120948 26.000000 0.000000
1.600812 0.104007 26.000000 0.000000
1.620822 0.110758 26.000000 0.000000
1.640832 0.081211 26.000000 0.000000
1.660842 0.098369 26.000000 0.000000
1.680852 0.116745 26.000000 0.000000
1.700862 0.104915 26.000000 0.000000
1.720872 0.113593 26.000000 0.000000
1.740883 0.110155 26.000000 0.000000
1.760893 0.106681 26.000000 0.000000
1.780903 0.103815 26.000000 0.000000
1.800913 0.093782 26.000000 0.000000
1.820923 0.113647 26.000000 0.000000
1.840933 0.125234 26.000000 0.000000
1.860943 0.113858 26.000000 0.000000
1.880954 0.118738 26.000000 0.000000
1.900964 0.116705 26.000000 0.000000
1.920974 0.115626 26.000000 0.000000
1.940984 0.115620 26.000000 0.000000
1.960994 0.111916 26.000000 0.000000
1.981004 0.113894 26.000000 0.000000
2.001014 0.112020 26.000000 0.000000
2.021025 0.112170 26.000000 0.000000
2.041035 0.114753 26.000000 0.000000
2.061045 0.106016 26.000000 0.000000
2.081055 0.092271 26.000000 0.000000
2.101065 0.109036 26.000000 0.000000
2.121075 0.104753 26.000000 0.000000
2.141085 0.115780 26.000000 0.000000
2.161096 0.106893 26.000000 0.000000
2.181106 0.107188 26.000000 0.000000
2.201116 0.119611 26.000000 0.000000
2.221126 0.104574 26.000000 0.000000
2.241136 0.108408 26.000000 0.000000
2.261146 0.108191 26.000000 0.000000
2.281156 0.101896 26.000000 0.000000
2.301167 0.115516 26.000000 0.000000
2.321177 0.100166 26.000000 0.000000
2.341187 0.113703 26.000000 0.000000
2.361197 0.113734 26.000000 0.000000
2.381207 0.105282 26.000000 0.000000
2.401217 0.112467 26.000000 0.000000
2.421227 0.107866 26.000000 0.000000
2.441238 0.111075 26.000000 0.000000
2.461248 0.119272 26.000000 0.000000
2.481258 0.109817 26.000000 0.000000
2.501268 0.116596 26.000000 0.000000
2.521278 0.117643 26.000000 0.000000
2.541288 0.109361 26.000000 0.000000
2.561298 0.112870 26.000000 0.000000
2.581309 0.103783 26.000000 0.000000
2.601319 0.111963 26.000000 0.000000
2.621329 0.117324 26.000000 0.000000
2.641339 0.112262 26.000000 0.000000
2.661349 0.107222 26.000000 0.000000
2.681359 0.104520 26.000000 0.000000
2.701369 0.114315 26.000000 0.000000
2.721380 0.126908 26.000000 0.000000
2.741390 0.112945 26.000000 0.000000
2.761400 0.118407 26.000000 0.000000
2.781410 0.118666 26.000000 0.000000
2.801420 0.112791 26.000000 0.000000
2.821430 0.118984 26.000000 0.000000
2.841440 0.101015 26.000000 0.000000
2.861451 0.112284 26.000000 0.000000
2.881461 0.114256 26.000000 0.000000
2.901471 0.106315 26.000000 0.000000
2.921481 0.119003 26.000000 0.000000
2.941491 0.106963 26.000000 0.000000
2.961501 0.113310 26.000000 0.000000
2.981511 0.122942 26.000000 0.000000
3.001522 0.110615 26.000000 0.000000
3.021532 0.110433 25.995000 0.000000
3.041542 0.111779 26.000000 0.000000
3.061552 0.106487 26.000000 0.000000
3.081562 0.114670 26.000000 0.000000
3.101572 0.100723 26.000000 0.000000
3.121583 0.117195 26.000000 0.000000
3.141593 0.117414 26.000000 0.000000
3.161603 0.110270 26.000000 0.000000
3.181613 0.111954 26.000000 0.000000
3.201623 0.094504 26.000000 0.000000
3.221633 0.114990 26.000000 0.000000
3.241643 0.126208 26.000000 0.000000
3.261654 0.111543 26.000000 0.000000
3.281664 0.114977 26.000000 0.000000
3.301674 0.112270 26.000000 0.000000
3.321684 0.110873 26.000000 0.000000
3.341694 0.115326 26.000000 0.000000
3.361704 0.103665 26.000000 0.000000
3.381714 0.118131 26.000000 0.000000
3.401725 0.117547 26.000000 0.000000
3.421735 0.118443 26.000000 0.000000
3.441745 0.114859 26.000000 0.000000
3.461755 0.101647 26.000000 0.000000
3.481765 0.105120 26.000000 0.000000
3.501775 0.114623 26.000000 0.000000
3.521785 0.113176 26.000000 0.000000
3.541796 0.116373 26.000000 0.000000
3.561806 0.114113 26.000000 0.000000
3.581816 0.109805 26.000000 0.000000
3.601826 0.114082 26.000000 0.000000
3.621836 0.100715 26.000000 0.000000
3.641846 0.115995 26.000000 0.000000
3.661856 0.112529 26.000000 0.000000
3.681867 0.107347 26.000000 0.000000
3.701877 0.116868 26.000000 0.000000
3.721887 0.100314 26.000000 0.000000
3.741897 0.114119 26.000000 0.000000
3.761907 0.114936 26.000000 0.000000
3.781917 0.108861 25.994444 0.000000
3.801927 0.117122 26.000000 0.000000
3.821938 0.108237 26.000000 0.000000
3.841948 0.118746 26.000000 0.000000
3.861958 0.119420 26.000000 0.000000
3.881968 0.105694 26.000000 0.000000
3.901978 0.114934 26.000000 0.000000
