serial number: JANUSZ_3_RI80_21414841
torque: 16
start_temp: 138 (138)
finish_temp: 138 (138)
note: ma interpolacje
0.000000 0.089994 138.743568 0.000000
0.020010 0.099081 138.381277 0.000000
0.040020 0.096895 138.060990 0.000000
0.060030 0.107298 138.554455 0.000000
0.080041 0.102610 138.300335 0.000000
0.100051 0.091746 138.770317 0.000000
0.120061 0.099749 138.565490 0.000000
0.140071 0.085897 138.623927 0.000000
0.160081 0.095838 138.943930 0.000000
0.180091 0.093958 138.473402 0.000000
0.200101 0.088308 138.426195 0.000000
0.220112 0.102262 139.792850 0.000000
0.240122 0.088393 138.611401 0.000000
0.260132 0.094669 138.014672 0.000000
0.280142 0.102597 138.289231 0.000000
0.300152 0.092210 139.766154 0.000000
0.320162 0.097783 138.672000 0.000000
0.340172 0.087943 138.952271 0.000000
0.360183 0.096399 139.277746 0.000000
0.380193 0.106108 138.580311 0.000000
0.400203 0.082396 139.085156 0.000000
0.420213 0.095162 138.493974 0.000000
0.440223 0.094072 138.568615 0.000000
0.460233 0.091624 139.521116 0.000000
0.480243 0.098445 138.931636 0.000000
0.500254 0.083206 138.390698 0.000000
0.520264 0.093643 139.018182 0.000000
0.540274 0.103653 139.137968 0.000000
0.560284 0.093531 138.952836 0.000000
0.580294 0.092895 138.489412 0.000000
0.600304 0.074934 138.494667 0.000000
0.620314 0.091214 138.467911 0.000000
0.640325 0.106520 138.293194 0.000000
0.660335 0.089576 138.604878 0.000000
0.680345 0.099150 138.441973 0.000000
0.700355 0.103484 138.075932 0.000000
0.720365 0.101202 138.579898 0.000000
0.740375 0.097435 138.894977 0.000000
0.760385 0.083270 138.373333 0.000000
0.780396 0.092460 138.594386 0.000000
0.800406 0.105257 138.626237 0.000000
0.820416 0.094339 138.713234 0.000000
0.840426 0.099988 138.489369 0.000000
0.860436 0.080945 138.575000 0.000000
0.880446 0.092261 139.233028 0.000000
0.900456 0.105245 139.250761 0.000000
0.920467 0.095366 138.746667 0.000000
0.940477 0.093860 138.938894 0.000000
