serial number: JANUSZ_3_RI80_21414853
torque: 16
start_temp: 138 (138)
finish_temp: 138 (179)
note: plytka PCB 3.4
0.000000 0.268091 138.000000 0.000000
0.020010 0.279594 138.000000 0.000000
0.040020 0.273048 138.000000 0.000000
0.060030 0.279487 138.000000 0.000000
0.080041 0.285633 138.000000 0.000000
0.100051 0.270255 138.000000 0.000000
0.120061 0.279493 138.000000 0.000000
0.140071 0.273146 138.000000 0.000000
0.160081 0.271620 138.000000 0.000000
0.180091 0.279083 138.000000 0.000000
0.200101 0.266873 138.000000 0.000000
0.220112 0.276972 138.000000 0.000000
0.240122 0.277072 138.000000 0.000000
0.260132 0.269955 138.000000 0.000000
0.280142 0.280193 138.000000 0.000000
0.300152 0.271158 138.000000 0.000000
0.320162 0.279064 138.000000 0.000000
0.340172 0.283910 138.000000 0.000000
0.360183 0.274079 138.000000 0.000000
0.380193 0.285310 138.000000 0.000000
0.400203 0.278439 138.000000 0.000000
0.420213 0.277634 138.000000 0.000000
0.440223 0.281994 138.000000 0.000000
0.460233 0.269321 138.000000 0.000000
0.480243 0.277658 138.000000 0.000000
0.500254 0.274833 138.000000 0.000000
0.520264 0.270568 138.000000 0.000000
0.540274 0.280128 138.000000 0.000000
0.560284 0.270339 138.000000 0.000000
0.580294 0.277313 138.000000 0.000000
0.600304 0.279437 138.000000 0.000000
0.620314 0.269154 138.000000 0.000000
0.640325 0.280852 138.000000 0.000000
0.660335 0.273324 138.000000 0.000000
0.680345 0.275011 138.000000 0.000000
0.700355 0.236699 138.000000 0.000000
0.720365 0.251510 138.000000 0.000000
0.740375 0.273223 138.000000 0.000000
0.760385 0.272214 138.000000 0.000000
0.780396 0.270794 138.000000 0.000000
0.800406 0.280177 138.000000 0.000000
0.820416 0.267985 138.000000 0.000000
0.840426 0.276681 138.000000 0.000000
0.860436 0.278128 138.000000 0.000000
0.880446 0.269021 138.000000 0.000000
0.900456 0.279677 138.000000 0.000000
0.920467 0.270129 138.000000 0.000000
0.940477 0.273865 138.000000 0.000000
0.960487 0.278262 138.000000 0.000000
0.980497 0.265064 138.000000 0.000000
1.000507 0.275862 138.000000 0.000000
1.020517 0.269207 138.000000 0.000000
1.040528 0.266759 138.000000 0.000000
1.060538 0.277312 138.000000 0.000000
1.080548 0.264903 138.000000 0.000000
1.100558 0.274773 138.000000 0.000000
1.120568 0.275618 138.000000 0.000000
1.140578 0.267913 138.000000 0.000000
1.160588 0.279616 138.000000 0.000000
1.180599 0.270317 138.000000 0.000000
1.200609 0.273765 138.000000 0.000000
1.220619 0.276806 138.000000 0.000000
1.240629 0.266196 138.000000 0.000000
1.260639 0.275068 138.000000 0.000000
1.280649 0.268088 138.000000 0.000000
1.300659 0.266566 138.000000 0.000000
1.320670 0.274931 138.000000 0.000000
1.340680 0.263647 138.000000 0.000000
1.360690 0.270764 138.000000 0.000000
1.380700 0.269516 138.000000 0.000000
1.400710 0.265860 138.000000 0.000000
1.420720 0.276593 138.000000 0.000000
1.440730 0.266751 138.000000 0.000000
1.460741 0.270488 138.000000 0.000000
1.480751 0.272415 138.000000 0.000000
1.500761 0.259007 138.000000 0.000000
1.520771 0.267310 138.000000 0.000000
1.540781 0.262937 138.000000 0.000000
1.560791 0.265301 138.000000 0.000000
1.580801 0.272528 138.000000 0.000000
1.600812 0.260509 138.000000 0.000000
1.620822 0.268549 138.000000 0.000000
1.640832 0.267465 138.000000 0.000000
1.660842 0.262977 138.000000 0.000000
1.680852 0.273272 138.000000 0.000000
1.700862 0.262256 138.000000 0.000000
1.720872 0.266677 138.000000 0.000000
1.740883 0.268556 138.000000 0.000000
1.760893 0.257856 138.000000 0.000000
1.780903 0.267139 138.000000 0.000000
1.800913 0.259586 138.000000 0.000000
1.820923 0.262901 138.000000 0.000000
1.840933 0.269435 138.000000 0.000000
1.860943 0.257466 138.000000 0.000000
1.880954 0.266497 138.000000 0.000000
1.900964 0.263997 138.000000 0.000000
1.920974 0.262831 138.000000 0.000000
1.940984 0.271052 138.000000 0.000000
1.960994 0.261098 138.000000 0.000000
1.981004 0.265776 138.000000 0.000000
2.001014 0.268266 138.000000 0.000000
2.021025 0.260422 138.000000 0.000000
2.041035 0.267684 138.000000 0.000000
2.061045 0.259702 138.000000 0.000000
2.081055 0.263695 138.000000 0.000000
2.101065 0.269303 138.000000 0.000000
2.121075 0.261207 138.000000 0.000000
2.141085 0.269106 138.000000 0.000000
2.161096 0.266601 138.000000 0.000000
2.181106 0.265324 138.000000 0.000000
