serial number: JANUSZ_3_RI80_21414853
torque: 16
start_temp: 22 (24)
finish_temp: 22 (24)
note: PCB 3_4
0.000000 0.206287 22.000000 0.000000
0.020010 0.214558 22.000000 0.000000
0.040020 0.201739 22.000000 0.000000
0.060030 0.213195 22.000000 0.000000
0.080041 0.213672 22.000000 0.000000
0.100051 0.202502 22.000000 0.000000
0.120061 0.214360 22.000000 0.000000
0.140071 0.206415 22.000000 0.000000
0.160081 0.214905 22.000000 0.000000
0.180091 0.216211 22.000000 0.000000
0.200101 0.202787 22.000000 0.000000
0.220112 0.213305 22.000000 0.000000
0.240122 0.208564 22.000000 0.000000
0.260132 0.210129 22.000000 0.000000
0.280142 0.216043 22.000000 0.000000
0.300152 0.205368 22.000000 0.000000
0.320162 0.215328 22.000000 0.000000
0.340172 0.212046 22.000000 0.000000
0.360183 0.205130 22.000000 0.000000
0.380193 0.215829 22.000000 0.000000
0.400203 0.205980 22.000000 0.000000
0.420213 0.213884 22.000000 0.000000
0.440223 0.215328 22.000000 0.000000
0.460233 0.202858 22.000000 0.000000
0.480243 0.214803 22.000000 0.000000
0.500254 0.208403 22.000000 0.000000
0.520264 0.209168 22.000000 0.000000
0.540274 0.214174 22.000000 0.000000
0.560284 0.200435 22.000000 0.000000
0.580294 0.213189 22.000000 0.000000
0.600304 0.209560 22.000000 0.000000
0.620314 0.203888 22.000000 0.000000
0.640325 0.214253 22.000000 0.000000
0.660335 0.201002 22.000000 0.000000
0.680345 0.212050 22.000000 0.000000
0.700355 0.213478 22.000000 0.000000
0.720365 0.203767 22.000000 0.000000
0.740375 0.216447 22.000000 0.000000
0.760385 0.206796 22.000000 0.000000
0.780396 0.209671 22.000000 0.000000
0.800406 0.213978 22.000000 0.000000
0.820416 0.201837 22.000000 0.000000
0.840426 0.214436 22.000000 0.000000
0.860436 0.208864 22.000000 0.000000
0.880446 0.203298 22.000000 0.000000
0.900456 0.213750 22.000000 0.000000
0.920467 0.202723 22.000000 0.000000
0.940477 0.214576 22.000000 0.000000
0.960487 0.212548 22.000000 0.000000
0.980497 0.204717 22.000000 0.000000
1.000507 0.215983 22.000000 0.000000
1.020517 0.206255 22.000000 0.000000
1.040528 0.211372 22.000000 0.000000
1.060538 0.214093 22.000000 0.000000
1.080548 0.200984 22.000000 0.000000
1.100558 0.211558 22.000000 0.000000
1.120568 0.205432 22.000000 0.000000
1.140578 0.203690 22.000000 0.000000
1.160588 0.213421 22.000000 0.000000
1.180599 0.201721 22.000000 0.000000
1.200609 0.210502 22.000000 0.000000
1.220619 0.207497 22.000000 0.000000
1.240629 0.201630 22.000000 0.000000
1.260639 0.212632 22.000000 0.000000
1.280649 0.200952 22.000000 0.000000
1.300659 0.207009 22.000000 0.000000
1.320670 0.209793 22.000000 0.000000
1.340680 0.198646 22.000000 0.000000
1.360690 0.210238 22.000000 0.000000
1.380700 0.203258 22.000000 0.000000
1.400710 0.203636 22.000000 0.000000
1.420720 0.211335 22.000000 0.000000
1.440730 0.196425 22.000000 0.000000
1.460741 0.207608 22.000000 0.000000
1.480751 0.205447 22.000000 0.000000
1.500761 0.197091 22.000000 0.000000
1.520771 0.210423 22.000000 0.000000
1.540781 0.199347 22.000000 0.000000
1.560791 0.203630 22.000000 0.000000
1.580801 0.206542 22.000000 0.000000
1.600812 0.193702 22.000000 0.000000
1.620822 0.206094 22.000000 0.000000
1.640832 0.197139 22.000000 0.000000
1.660842 0.200763 22.000000 0.000000
1.680852 0.207486 22.000000 0.000000
1.700862 0.197290 22.000000 0.000000
1.720872 0.208155 22.000000 0.000000
1.740883 0.203022 22.000000 0.000000
1.760893 0.200756 22.000000 0.000000
1.780903 0.209914 22.000000 0.000000
1.800913 0.199035 22.000000 0.000000
1.820923 0.206734 22.000000 0.000000
1.840933 0.206802 22.000000 0.000000
1.860943 0.195412 22.000000 0.000000
1.880954 0.205327 22.000000 0.000000
1.900964 0.196588 22.000000 0.000000
1.920974 0.202784 22.000000 0.000000
1.940984 0.207117 22.000000 0.000000
1.960994 0.194985 22.000000 0.000000
1.981004 0.205028 22.000000 0.000000
2.001014 0.202397 22.000000 0.000000
2.021025 0.202689 22.000000 0.000000
2.041035 0.208047 22.000000 0.000000
2.061045 0.196223 22.000000 0.000000
2.081055 0.204222 22.000000 0.000000
2.101065 0.205244 22.000000 0.000000
2.121075 0.199219 22.000000 0.000000
2.141085 0.207317 22.000000 0.000000
2.161096 0.195816 22.000000 0.000000
2.181106 0.200813 22.000000 0.000000
2.201116 0.202700 22.000000 0.000000
2.221126 0.190327 22.000000 0.000000
2.241136 0.200869 22.000000 0.000000
2.261146 0.196958 22.000000 0.000000
2.281156 0.195373 22.000000 0.000000
2.301167 0.205013 22.000000 0.000000
2.321177 0.192915 22.000000 0.000000
2.341187 0.204093 22.000000 0.000000
2.361197 0.202751 22.000000 0.000000
2.381207 0.193977 22.000000 0.000000
2.401217 0.201560 22.000000 0.000000
2.421227 0.192618 22.000000 0.000000
2.441238 0.202125 22.000000 0.000000
2.461248 0.202673 22.000000 0.000000
2.481258 0.194092 22.000000 0.000000
2.501268 0.206480 22.000000 0.000000
2.521278 0.200953 22.000000 0.000000
2.541288 0.201120 22.000000 0.000000
2.561298 0.206698 22.000000 0.000000
2.581309 0.194902 22.000000 0.000000
2.601319 0.206792 22.000000 0.000000
2.621329 0.204417 22.000000 0.000000
2.641339 0.196566 22.000000 0.000000
2.661349 0.204561 22.000000 0.000000
2.681359 0.196116 22.000000 0.000000
2.701369 0.206977 22.000000 0.000000
