serial number: JANUSZ_4_RI80_21414847
torque: 16.0
start_temp: 30 (31)
finish_temp: 30 (32)
note: 1st_kalib_3_4_pcb_2
0.000000 nan
0.021014 nan
0.042028 nan
0.063042 nan
0.084056 nan
0.105070 nan
0.126084 nan
0.147098 nan
0.168112 nan
0.189126 nan
0.210140 nan
0.231154 nan
0.252168 nan
0.273182 nan
0.294196 nan
0.315210 nan
0.336224 nan
0.357238 nan
0.378252 nan
0.399266 nan
0.420280 nan
0.441294 nan
0.462308 nan
0.483322 nan
0.504336 nan
0.525350 nan
0.546364 nan
0.567378 nan
0.588392 nan
0.609406 nan
0.630420 nan
0.651434 nan
0.672448 nan
0.693462 nan
0.714476 nan
0.735490 nan
0.756504 nan
0.777518 nan
0.798532 nan
0.819546 nan
0.840560 nan
0.861574 nan
0.882588 nan
0.903602 nan
0.924616 nan
0.945630 nan
0.966644 nan
0.987658 nan
1.008672 nan
1.029686 nan
1.050700 nan
1.071714 nan
1.092728 nan
1.113742 nan
1.134756 nan
1.155770 nan
1.176784 nan
1.197798 nan
1.218812 nan
1.239826 nan
1.260840 nan
1.281854 nan
1.302868 nan
1.323882 nan
1.344896 nan
1.365910 nan
1.386924 nan
1.407938 nan
1.428952 nan
1.449966 nan
1.470980 nan
1.491994 nan
1.513008 nan
1.534022 nan
1.555036 nan
1.576050 nan
1.597064 nan
1.618078 nan
1.639092 nan
1.660106 nan
1.681120 nan
1.702134 nan
1.723148 nan
1.744162 nan
1.765176 nan
1.786190 nan
1.807204 nan
1.828218 nan
1.849232 nan
1.870246 nan
1.891260 nan
1.912274 nan
1.933288 nan
1.954302 nan
1.975316 nan
1.996330 nan
2.017344 nan
2.038358 nan
2.059372 nan
2.080386 nan
2.101400 nan
2.122414 nan
2.143428 nan
2.164442 nan
2.185456 nan
2.206470 nan
2.227484 nan
2.248498 nan
2.269512 nan
2.290526 nan
2.311540 nan
2.332554 nan
2.353568 nan
2.374582 nan
2.395596 nan
2.416610 nan
2.437624 nan
2.458638 nan
2.479652 nan
2.500666 nan
2.521680 nan
2.542694 nan
2.563708 nan
2.584722 nan
2.605736 nan
2.626750 nan
2.647764 nan
2.668778 nan
2.689792 nan
2.710806 nan
2.731820 nan
2.752834 nan
2.773848 nan
2.794862 nan
2.815876 nan
2.836890 nan
2.857904 nan
2.878918 nan
2.899932 nan
2.920946 nan
2.941960 nan
2.962974 nan
2.983988 nan
3.005002 nan
3.026016 nan
3.047030 nan
3.068044 nan
3.089058 nan
3.110072 nan
3.131086 nan
3.152100 0.344512
3.173114 nan
3.194128 nan
3.215142 nan
3.236156 nan
3.257170 nan
3.278184 nan
3.299198 nan
3.320212 nan
3.341226 nan
3.362240 nan
3.383254 nan
3.404268 nan
3.425282 nan
3.446296 nan
3.467310 nan
3.488324 nan
3.509338 nan
3.530352 nan
3.551366 nan
3.572380 nan
3.593394 nan
3.614408 nan
3.635422 nan
3.656436 nan
3.677450 nan
3.698464 nan
3.719478 nan
3.740492 nan
3.761506 nan
3.782520 nan
3.803534 nan
3.824548 nan
3.845562 nan
3.866576 nan
3.887590 nan
3.908604 nan
3.929618 nan
3.950632 nan
3.971646 nan
3.992660 nan
4.013674 nan
4.034688 nan
4.055702 nan
4.076716 nan
4.097730 nan
4.118744 nan
4.139758 nan
4.160772 nan
4.181786 nan
4.202800 nan
4.223814 nan
4.244828 nan
4.265842 nan
4.286856 nan
4.307870 nan
4.328884 nan
4.349898 nan
4.370912 nan
4.391926 nan
4.412940 nan
4.433954 nan
4.454968 nan
4.475982 nan
4.496996 nan
4.518010 nan
4.539023 nan
4.560037 nan
4.581051 nan
4.602065 nan
4.623079 nan
4.644093 nan
4.665107 nan
4.686121 nan
4.707135 nan
4.728149 nan
4.749163 nan
4.770177 nan
4.791191 nan
4.812205 nan
4.833219 nan
4.854233 nan
4.875247 nan
4.896261 nan
4.917275 nan
4.938289 nan
4.959303 nan
4.980317 nan
5.001331 nan
5.022345 nan
5.043359 nan
5.064373 nan
5.085387 nan
5.106401 nan
5.127415 nan
5.148429 nan
5.169443 nan
5.190457 nan
5.211471 nan
5.232485 nan
5.253499 nan
5.274513 nan
5.295527 nan
5.316541 nan
5.337555 nan
5.358569 nan
5.379583 nan
5.400597 nan
5.421611 nan
5.442625 nan
5.463639 nan
5.484653 nan
5.505667 nan
5.526681 nan
5.547695 nan
5.568709 nan
5.589723 nan
5.610737 nan
5.631751 nan
5.652765 nan
5.673779 nan
5.694793 nan
5.715807 nan
5.736821 nan
5.757835 nan
5.778849 nan
5.799863 nan
5.820877 nan
5.841891 nan
5.862905 nan
5.883919 nan
5.904933 nan
5.925947 nan
5.946961 nan
5.967975 nan
5.988989 nan
6.010003 nan
6.031017 nan
6.052031 nan
6.073045 nan
6.094059 nan
6.115073 nan
6.136087 nan
6.157101 nan
6.178115 nan
6.199129 nan
6.220143 nan
6.241157 nan
6.262171 nan
6.283185 nan
